platform,year,depthmin,depthmax,Item,AvgMax,hard%,hardmm,soft%,softmm,Remarks
K9-B,2011,3.0,-12.0,Rows and Elevations,M,100.0,80.0,80.0,80.0,
K9-B,2011,3.0,-12.0,Risers,M,100.0,70.0,70.0,40.0,
K9-B,2011,3.0,-12.0,Caissons,M,100.0,80.0,0.0,0.0,
K9-B,2011,3.0,-12.0,Conductors,M,100.0,80.0,100.0,40.0,
K9-B,2011,-12.0,-34.5,Rows and Elevations,M,0.0,0.0,100.0,80.0,
K9-B,2011,-12.0,-34.5,Risers,M,0.0,0.0,80.0,50.0,
K9-B,2011,-12.0,-34.5,Caissons,M,100.0,80.0,0.0,0.0,
K9-B,2011,-12.0,-34.5,Conductors,M,20.0,40.0,100.0,80.0,
K9-B,2011,3.0,0.0,Row 1,A,80.0,60.0,0.0,0.0,
K9-B,2011,3.0,0.0,Row 2,A,100.0,40.0,0.0,0.0,
K9-B,2011,3.0,0.0,Row A,A,100.0,70.0,0.0,0.0,
K9-B,2011,3.0,0.0,Row B,A,100.0,40.0,0.0,0.0,
K9-B,2011,0.0,-12.0,Row 1,A,90.0,80.0,20.0,80.0,
K9-B,2011,0.0,-12.0,Row 2,A,100.0,40.0,0.0,0.0,
K9-B,2011,0.0,-12.0,Row A,A,20.0,70.0,80.0,30.0,
K9-B,2011,0.0,-12.0,Row B,A,100.0,60.0,0.0,0.0,
K9-B,2011,-12.0,-34.5,Row 1,A,0.0,0.0,100.0,80.0,
K9-B,2011,-12.0,-34.5,Row 2,A,0.0,0.0,100.0,80.0,
K9-B,2011,-12.0,-34.5,Row A,A,0.0,0.0,100.0,80.0,
K9-B,2011,-12.0,-34.5,Row B,A,0.0,0.0,100.0,70.0,
K9-B,2011,-12.0,-12.0,Level 1 ,A,0.0,0.0,30.0,40.0,
K9-B,2011,-12.0,-12.0,Conductor Field,A,0.0,0.0,30.0,40.0,
K9-B,2011,-34.5,-34.5,Level 2,A,0.0,0.0,80.0,80.0,
K9-B,2011,-34.5,-34.5,Conductor Field ,A,0.0,0.0,80.0,80.0,
K9-B,2010,3.0,-12.0,Rows and Elevations,A,73.0,46.0,14.0,18.0,
K9-B,2010,3.0,-12.0,Risers,A,65.0,55.0,0.0,0.0,
K9-B,2010,3.0,-12.0,Caissons,A,90.0,63.0,5.0,13.0,
K9-B,2010,3.0,-12.0,Conductors,A,61.0,59.0,5.0,5.0,
K9-B,2010,-12.0,-34.5,Rows and Elevations,A,16.0,13.0,76.0,65.0,
K9-B,2010,-12.0,-34.5,Risers,A,80.0,60.0,10.0,20.0,
K9-B,2010,-12.0,-34.5,Caissons,A,20.0,23.0,30.0,38.0,
K9-B,2010,-12.0,-34.5,Conductors,A,8.0,6.0,70.0,70.0,
K9-B,2010,3.0,-12.0,Rows and Elevations,M,80.0,60.0,40.0,50.0,
K9-B,2010,3.0,-12.0,Risers,M,80.0,60.0,10.0,20.0,
K9-B,2010,3.0,-12.0,Caissons,M,100.0,70.0,20.0,50.0,
K9-B,2010,3.0,-12.0,Conductors,M,100.0,100.0,50.0,50.0,
K9-B,2010,-12.0,-34.5,Rows and Elevations,M,80.0,40.0,100.0,80.0,
K9-B,2010,-12.0,-34.5,Risers,M,0.0,0.0,100.0,60.0,
K9-B,2010,-12.0,-34.5,Caissons,M,60.0,60.0,80.0,70.0,
K9-B,2010,-12.0,-34.5,Conductors,M,80.0,60.0,100.0,100.0,
K9-B,2010,3.0,0.0,Row 1,A,80.0,50.0,0.0,0.0,
K9-B,2010,3.0,0.0,Row 2,A,80.0,50.0,0.0,0.0,
